indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
Main HE owner is married,0.85999999999999999,0.84999999999999998,0.78000000000000003,0.79000000000000004,0.71999999999999997,0.70000000000000007,0.95999999999999996,0.54000000000000004,0.73999999999999999,0.80000000000000004,0.63,0.72999999999999998,0.60999999999999999,0.82000000000000006
Market food share (% total cons.),0.27000000000000002,0.40000000000000002,0.38,0.40000000000000002,0.38,0.32000000000000001,0.32000000000000001,0.47000000000000003,0.47999999999999998,0.47000000000000003,0.38,0.38,0.38,0.37
Non-HH employees in HE,1.3100000000000001,0.070000000000000007,0.93000000000000005,0.38,0.91000000000000003,0.26000000000000001,0.28000000000000003,0.28000000000000003,0.32000000000000001,0.38,0.44,0.92000000000000004,0.19,0.37
Non-food consumption share,0.70999999999999996,0.56000000000000005,0.53000000000000003,0.51000000000000001,0.53000000000000003,0.57000000000000006,0.52000000000000002,0.48999999999999999,0.47000000000000003,0.5,0.5,0.5,0.57999999999999996,0.57000000000000006
Non-wage employed (% of employed),0.5,0.78000000000000003,0.83999999999999997,0.87,0.80000000000000004,0.76000000000000001,0.88,0.79000000000000004,0.84999999999999998,0.70999999999999996,0.88,0.76000000000000001,0.65000000000000002,0.62
Number of employees in HE,2.9500000000000002,0.16,0.78000000000000003,0.13,0.47000000000000003,0.91000000000000003,0,0.70000000000000007,0.69000000000000006,0.62,2,0,0.89000000000000001,1.3400000000000001
Own-production food share (% total cons.),0,0.02,0.050000000000000003,0.080000000000000002,0.050000000000000003,0.089999999999999997,0.12,0.02,0.029999999999999999,0.02,0.089999999999999997,0.089999999999999997,0.02,0.029999999999999999
Poor at $3.00/day (2017 PPP),0,0.11,0.23999999999999999,0.32000000000000001,0.25,0.35999999999999999,0.37,0.19,0.28999999999999998,0.17999999999999999,0.38,0.46000000000000002,0.12,0.23999999999999999
Poor at $4.20/day (2017 PPP),0.040000000000000001,0.35000000000000003,0.51000000000000001,0.60999999999999999,0.51000000000000001,0.57999999999999996,0.60999999999999999,0.41999999999999998,0.53000000000000003,0.39000000000000001,0.70999999999999996,0.67000000000000004,0.26000000000000001,0.53000000000000003
Proxy: owns gas/electric cooker (cuisin),0.14999999999999999,0,0.01,0,0.01,0,0.01,0.02,0.01,0.02,0,0,0.029999999999999999,0.029999999999999999
Safe drinking water – dry season,0.96999999999999997,0.53000000000000003,0.75,0.95999999999999996,0.88,0.73999999999999999,0.37,0.95000000000000007,0.87,0.93000000000000005,0.40000000000000002,0.64000000000000001,0.92000000000000004,0.56000000000000005
Sanitary toilet facility,0.94000000000000006,0.85999999999999999,0.67000000000000004,0.46000000000000002,0.56000000000000005,0.23000000000000001,0.13,0.56000000000000005,0.45000000000000001,0.48999999999999999,0.20000000000000001,0.26000000000000001,0.56000000000000005,0.47999999999999998
Tropical Livestock Units (TLU),0.14000000000000001,0.82000000000000006,3.3700000000000001,2.3700000000000001,2.3599999999999999,2.77,4.4000000000000004,7.6000000000000005,4.6399999999999997,3.1600000000000001,1.4000000000000001,3.8200000000000003,0.85999999999999999,0.77000000000000002
Uses grid electricity,0.95000000000000007,0.70999999999999996,0.51000000000000001,0.41999999999999998,0.60999999999999999,0.20999999999999999,0.29999999999999999,0.48999999999999999,0.48999999999999999,0.68000000000000005,0.39000000000000001,0.37,0.70000000000000007,0.67000000000000004
Uses solar/generator electricity,0.040000000000000001,0.089999999999999997,0.23999999999999999,0.25,0.20000000000000001,0.33000000000000002,0.23000000000000001,0.17000000000000001,0.070000000000000007,0.10000000000000001,0.35999999999999999,0.16,0.20000000000000001,0.22
Wage-employed (% of employed),0.5,0.22,0.16,0.13,0.20000000000000001,0.23999999999999999,0.12,0.20999999999999999,0.14999999999999999,0.28999999999999998,0.12,0.23999999999999999,0.35000000000000003,0.38
npoor300,0.02,0.35000000000000003,0.32000000000000001,0.33000000000000002,0.45000000000000001,0.089999999999999997,0.40000000000000002,0.27000000000000002,0.25,0.27000000000000002,0.28999999999999998,0.48999999999999999,0.39000000000000001,0.20999999999999999
npoor420,0.23999999999999999,0.90000000000000002,0.62,0.55000000000000004,0.79000000000000004,0.14000000000000001,0.60999999999999999,0.57999999999999996,0.45000000000000001,0.56000000000000005,0.47999999999999998,0.70000000000000007,0.81000000000000005,0.45000000000000001
≥1 HH member has health coverage (proxy social protection),0.11,0.01,0.029999999999999999,0.029999999999999999,0.02,0.02,0.029999999999999999,0.02,0.01,0.050000000000000003,0.01,0.01,0.029999999999999999,0.029999999999999999
