indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Primary cooking fuel clean (gas/electricity),0.72999999999999998,0.59999999999999998,0.78000000000000003,0.76000000000000001,0.70000000000000007,0.73999999999999999,0.83000000000000007,0.71999999999999997,0.79000000000000004,0.69000000000000006,0.84999999999999998,0.57000000000000006,0.80000000000000004
Proxy: owns gas/electric cooker (cuisin),0.040000000000000001,0.14000000000000001,0.029999999999999999,0,0.059999999999999998,0.029999999999999999,0.01,0.040000000000000001,0,0.01,0.01,0.01,0.17000000000000001
Safe drinking water – dry season,0.80000000000000004,0.97999999999999998,0.83000000000000007,0.70000000000000007,0.83999999999999997,0.78000000000000003,0.70999999999999996,0.80000000000000004,0.68000000000000005,0.77000000000000002,0.79000000000000004,0.85999999999999999,0.90000000000000002
Sanitary toilet facility,0.62,0.95000000000000007,0.66000000000000003,0.46000000000000002,0.72999999999999998,0.57999999999999996,0.56000000000000005,0.63,0.31,0.54000000000000004,0.64000000000000001,0.76000000000000001,0.85999999999999999
Share of HH workers in trade/commerce,0.19,0.22,0.23000000000000001,0.14999999999999999,0.23999999999999999,0.17000000000000001,0.22,0.17999999999999999,0.10000000000000001,0.16,0.20000000000000001,0.22,0.25
Share of HH workers in transport,0.059999999999999998,0.070000000000000007,0.080000000000000002,0.040000000000000001,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.040000000000000001,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.070000000000000007
Share of HH workers informally employed,0.70000000000000007,0.47999999999999998,0.63,0.83000000000000007,0.65000000000000002,0.71999999999999997,0.76000000000000001,0.70000000000000007,0.83000000000000007,0.76000000000000001,0.71999999999999997,0.65000000000000002,0.53000000000000003
Tropical Livestock Units (TLU),2.8199999999999998,0.17999999999999999,0.82000000000000006,4.9100000000000001,0.84999999999999998,3.5100000000000002,2.6299999999999999,2.8399999999999999,4.8600000000000003,3.5,2.6400000000000001,2.1600000000000001,0.95000000000000007
Uses grid electricity,0.66000000000000003,0.95000000000000007,0.84999999999999998,0.44,0.79000000000000004,0.60999999999999999,0.52000000000000002,0.66000000000000003,0.26000000000000001,0.57999999999999996,0.70999999999999996,0.82000000000000006,0.91000000000000003
Uses solar/generator electricity,0.16,0.040000000000000001,0.080000000000000002,0.25,0.11,0.17999999999999999,0.23000000000000001,0.16,0.28000000000000003,0.20000000000000001,0.14999999999999999,0.11,0.059999999999999998
Wage-employed (% of employed),0.29999999999999999,0.5,0.35999999999999999,0.17000000000000001,0.22,0.37,0.33000000000000002,0.28000000000000003,0.16,0.23000000000000001,0.27000000000000002,0.34000000000000002,0.45000000000000001
wood_dist [ALL MISSING],,,,,,,,,,,,,
≥1 HH member has health coverage (proxy social protection),0.050000000000000003,0.13,0.050000000000000003,0.02,0.040000000000000001,0.050000000000000003,0.029999999999999999,0.050000000000000003,0.01,0.02,0.029999999999999999,0.070000000000000007,0.12
